id;name;type;relation;phone_no_1;phone_no_2;last_modified;last_modified_by;created_by;created_on;deleted;employee_id
1;info-mediaries;PRIMARY;FATHER;functionalities;program discrete calculate;2023-02-07T07:42:03;Borders;Plaza interactive back;2023-02-07T15:52:17;true;42697
2;Delaware;PRIMARY;SPOUS;Ball olive;initiative;2023-02-07T23:10:56;Rustic plum;eyeballs quantifying frictionless;2023-02-08T04:24:52;false;34664
3;Massachusetts Pizza;SECONDARY;CHILD;connecting;Producer Pound;2023-02-07T07:58:58;Card feed Loan;Tools;2023-02-07T09:08:41;false;88057
4;withdrawal;SECONDARY;BROTHER;leading-edge Lakes Shoes;Connecticut;2023-02-08T03:55:25;program deliver Mission;cyan cyan;2023-02-08T00:38:58;true;2573
5;base;SECONDARY;BROTHER;Internal digital;invoice;2023-02-08T04:15:51;architect Tuna Guatemala;withdrawal Gorgeous Factors;2023-02-07T13:23:17;false;32326
6;grow schemas Arizona;PRIMARY;SPOUS;Tasty;Mexico Virtual;2023-02-08T04:58:09;Belarussian;Refined Montana;2023-02-07T09:36:12;false;42739
7;Cambridgeshire Peso generation;SECONDARY;FATHER;scalable Industrial Customer-focused;Mauritius port hacking;2023-02-08T02:03:41;multimedia withdrawal Beauty;Concrete virtual scalable;2023-02-07T06:44:18;true;87055
8;Corporate;PRIMARY;SPOUS;responsive Idaho SDR;Dong Health payment;2023-02-08T06:13:29;bluetooth;Grocery;2023-02-07T12:33:57;false;9348
9;Trinidad;PRIMARY;MOTHER;reinvent Soft;synthesizing Refined compressing;2023-02-08T06:05:02;Account;Virginia Mountains;2023-02-07T15:26:16;true;64773
10;cross-platform Bacon Awesome;PRIMARY;SPOUS;Bedfordshire fuchsia;Springs zero;2023-02-07T11:29:22;Product;RAM;2023-02-08T02:34:42;true;93626
