id;first_name;last_name;username;password;email;phone;mobile;department;designation;gender;employee_id;joindate;created_by;created_on;last_modified;last_modified_by;deleted;reported_to;company_id;branch_id;region_id
1;Lola;Rogahn;Account Soft;port innovative;Jack.Crist@hotmail.com;1-431-364-5072 x980;maximized;Sleek;alarm Switchable dot-com;FEMALE;indigo Car;2023-02-07T17:34:12;Germany internet Granite;2023-02-07T07:29:34;2023-02-07T16:46:28;Berkshire;false;33970;1966;11750;20289
2;Fern;Ortiz;lime Jersey time-frame;deposit Soap Marketing;Destini.Daniel99@yahoo.com;1-754-394-1200 x565;Illinois Chicken North;invoice white functionalities;microchip;MALE;1080p;2023-02-07T18:28:59;users;2023-02-08T05:25:58;2023-02-07T15:15:02;Small architecture;false;23710;65131;40375;18500
3;Abe;Olson;Tuna;Ball Personal;Javon44@hotmail.com;1-653-465-5269;De-engineered communities;payment;Gorgeous deposit Upgradable;MALE;Metal UIC-Franc Kroon;2023-02-07T08:34:46;Movies adapter invoice;2023-02-07T13:37:02;2023-02-07T14:52:11;back;false;9429;89994;3513;14322
4;Justine;Grant;mindshare;killer;Erika3@hotmail.com;975.789.4208;Gorgeous;engage;Expanded Agent;TRANSGENDER;back-end Global Toys;2023-02-07T10:41:23;Licensed;2023-02-08T04:33:42;2023-02-08T02:32:03;supply-chains;false;37745;55895;74255;67880
5;Helena;Wolf;Assistant Senior red;value-added;Ally_Rosenbaum98@gmail.com;904.464.8282;deposit Frozen;deposit;Germany orange;TRANSGENDER;attitude Rubber;2023-02-07T17:54:05;copy Manat e-business;2023-02-07T09:40:43;2023-02-07T11:36:24;Refined;false;75359;22166;13834;85388
6;Tess;Wilkinson;bleeding-edge;lavender Bouvet interface;Pearl79@gmail.com;220.809.4433;Customer circuit;Montana fuchsia;Visionary;MALE;mint;2023-02-07T17:23:47;Bahamian;2023-02-07T06:58:31;2023-02-07T07:25:52;Fantastic Loan;true;83236;59727;38412;90763
7;Adaline;Schiller;deposit Assurance Sleek;Chips payment Berkshire;Jerrell_Klocko32@hotmail.com;998.308.7536 x558;streamline;Officer cyan;Soap withdrawal;FEMALE;transition Manor;2023-02-08T02:52:57;Coordinator Regional;2023-02-07T23:27:50;2023-02-07T21:31:25;Assistant Account;false;57445;11159;62559;83316
8;Maymie;Hintz;Principal Architect pixel;incubate;Raul.Moore@hotmail.com;766-340-0988 x935;optical index CFA;reciprocal;holistic;FEMALE;Mississippi Croatian;2023-02-07T08:26:45;infrastructures;2023-02-07T19:58:15;2023-02-07T08:22:42;neutral transmitting withdrawal;false;37903;61756;47329;25928
9;Madelyn;Gorczany;partnerships cohesive;Rubber;Paolo35@yahoo.com;555.555.3169 x8941;overriding;Avon;Operative Naira;MALE;Wyoming Global;2023-02-07T23:25:25;District;2023-02-07T09:25:56;2023-02-07T19:06:45;South;true;26309;36070;52712;46079
10;Ashton;Boyle;Pike;Bedfordshire;Scot_Haag@yahoo.com;1-363-996-0866 x3179;National;FTP;Lira;FEMALE;compressing Port enable;2023-02-08T02:16:06;New optimal;2023-02-07T14:01:28;2023-02-07T22:28:10;Grenada transmit Games;true;25441;34937;76433;31759
